project_name,industry,project_type,team_experience,actual_effort_hours,actual_duration_months,actual_cost,team_size,language,database_type,architecture,scope_description,productivity,defect_density,source
Banking Transaction System,Finance,Business System,senior,8000,10,400000,6,Java,PostgreSQL,Microservices,Core transaction processing with reporting,1.0,2.5,internal
E-Commerce Platform,Retail,Web Application,senior,5500,8,275000,5,Python,MySQL,Monolith,Online shopping platform with payment,1.2,2.0,internal
Mobile Fitness App,Healthcare,Mobile App,mixed,3200,6,160000,4,Swift/Kotlin,Firebase,Native,Fitness tracking and social features,1.5,1.8,industry_data
Data Analytics Dashboard,Technology,Business Intelligence,senior,4800,7,240000,5,Python,PostgreSQL,Microservices,Real-time analytics dashboard,1.1,1.5,industry_data
Enterprise Resource Planning,Manufacturing,Business System,senior,12000,14,600000,8,C#,SQL Server,Monolith,Full ERP system for supply chain,0.8,3.0,internal
Content Management System,Media,Web Application,mixed,2400,5,120000,3,JavaScript,MongoDB,Monolith,Blog and media management platform,1.4,1.2,industry_data
IoT Sensor Network,IoT,Embedded System,junior,6000,9,300000,4,C++,PostgreSQL,Distributed,Sensor data collection and analysis,0.9,3.5,internal
Machine Learning Model,AI,Data Science,senior,3600,5,180000,3,Python,PostgreSQL,Microservices,Predictive analytics model development,1.3,0.5,industry_data
Customer Portal,Service,Web Application,junior,2800,6,140000,3,Java,Oracle,Monolith,Customer self-service portal,0.95,2.8,internal
Supply Chain Management,Logistics,Business System,mixed,7200,11,360000,6,Python,PostgreSQL,Microservices,End-to-end supply chain system,0.85,2.2,industry_data
Document Processing System,Legal,Document Management,mixed,5400,8,270000,4,C#,SQL Server,Monolith,Legal document automation,0.95,2.5,internal
Healthcare Records System,Healthcare,Business System,senior,9600,12,480000,7,Java,Oracle,Microservices,Electronic health records system,0.85,1.5,industry_data
Social Media Platform,Social,Web Application,senior,11000,13,550000,8,JavaScript,MongoDB,Microservices,Social networking platform,0.9,1.8,industry_data
Mobile Banking App,Finance,Mobile App,senior,4000,7,200000,5,Swift/Kotlin,PostgreSQL,Native,Mobile banking application,1.1,2.0,internal
Educational Learning Platform,Education,Web Application,mixed,3800,7,190000,4,Python,PostgreSQL,Monolith,Online learning management system,1.15,1.3,industry_data
Real Estate Marketplace,Real Estate,Web Application,junior,4500,8,225000,4,JavaScript,MySQL,Monolith,Property listing and search platform,1.0,2.2,industry_data
Inventory Management System,Retail,Business System,mixed,4200,7,210000,4,Java,MySQL,Monolith,Multi-store inventory tracking,1.05,2.0,internal
Appointment Scheduling System,Service,Web Application,junior,2200,5,110000,3,Python,PostgreSQL,Monolith,Booking and scheduling system,1.25,1.5,industry_data
Fleet Management System,Transportation,Business System,mixed,5800,9,290000,5,C#,SQL Server,Monolith,Vehicle tracking and management,0.9,2.3,industry_data
Video Streaming Platform,Media,Web Application,senior,8500,12,425000,7,JavaScript,MongoDB,Microservices,Netflix-like streaming platform,0.8,1.0,industry_data
